termo,user,frase,tweet_origin_id,tweet_id,data_do_tweet
magazineluiza,naoacheiumuser,"@ricardojablonsk @magazineluiza Para de reclamar, eu quero o 11 kkkk",' 1399407974423072773 ',' 1400239453080330244 ',' 2021-06-02 23:54:35 '
magazineluiza,ManoAxo,"@EnLs12 @magazineluiza Sim, passa o zap gostoso?",' 1400239266056261634 ',' 1400239443605438466 ',' 2021-06-02 23:54:33 '
magazineluiza,LadeiraArriba,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B. https://t.co/zPucmGznne,' None ',' 1400239376911769604 ',' 2021-06-02 23:54:17 '
magazineluiza,AndreaM53457133,@magazineluiza Fiz uma compra e recebi uma caixa vazia. @Apple,' 1400106090197663744 ',' 1400239312801865731 ',' 2021-06-02 23:54:02 '
magazineluiza,EnLs12,@ManoAxo @magazineluiza E o que hetero faz ?  caga pela boca https://t.co/vfduZV0DHL,' 1400236533542752260 ',' 1400239266056261634 ',' 2021-06-02 23:53:50 '
magazineluiza,AndreaM53457133,@magazineluiza Fiz uma compra e recebi uma caixa vazia. @Apple,' 1400157955291496450 ',' 1400239095801057294 ',' 2021-06-02 23:53:10 '
magazineluiza,guessmewho__,"paguei um pix na @magazineluiza q so e valido ate as 21:12 e n caiu ate agr a aprovação do pedido, vou ter um treco",' None ',' 1400238880297828355 ',' 2021-06-02 23:52:18 '
magazineluiza,AndreaM53457133,@magazineluiza Fiz uma compra e recebi uma caixa vazia. Nao resolvem meu problema. @Apple,' 1400189430636367882 ',' 1400238767789809669 ',' 2021-06-02 23:51:52 '
magazineluiza,ElaineRafaAzev1,@magazineluiza Bom dia!! Abro os olhos kkkk,' 1400044712451526658 ',' 1400238720964612097 ',' 2021-06-02 23:51:40 '
magazineluiza,luischazylp,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400237812541276163 ',' 2021-06-02 23:48:04 '
magazineluiza,MCRW23,A LU É MILF OU NUM. É? https://t.co/EAdv4KCm6G,' None ',' 1400237489034600453 ',' 2021-06-02 23:46:47 '
magazineluiza,Georgealves28,@magazineluiza Ah gulosa quer namorado e namorada né,' 1400106087739805703 ',' 1400237405072932864 ',' 2021-06-02 23:46:27 '
magazineluiza,Yawa107123,@Oakkk_ @magazineluiza talvez,' 1400226744347598849 ',' 1400237097525690371 ',' 2021-06-02 23:45:13 '
magazineluiza,laurpassivinha,"e o @magazineluiza que não entregou minha compra, já mudou o prazo de entrega várias vezes, o atendimento prometeu que até hoje resolveriam e agora não respondem mais meus e-mails?",' None ',' 1400236901332828168 ',' 2021-06-02 23:44:27 '
magazineluiza,Your_Monalisa,RT @marchilindo: @magazineluiza Magalu eu nao sou virtual e não encontrei ninguém ainda :(,' None ',' 1400236455130275843 ',' 2021-06-02 23:42:40 '
magazineluiza,EnLs12,@ManoAxo @magazineluiza Mas não ofendeu .   Como disse só entrei na brincadeira e tu que ficou ofendido pq falei namorada 😂😂😂😂  Héteros MDS kkkkk se incomoda com pouca coisa https://t.co/kVeYcVv2Gr,' 1400236029680959490 ',' 1400236325408813058 ',' 2021-06-02 23:42:09 '
magazineluiza,grupomorto,@magazineluiza por enquanto...,' 1400106087739805703 ',' 1400236289727815684 ',' 2021-06-02 23:42:01 '
magazineluiza,FariaasRodnei,@magazineluiza E  o Baianinho das casas Bahia?,' 1400106087739805703 ',' 1400236253950394371 ',' 2021-06-02 23:41:52 '
magazineluiza,Your_Monalisa,@magazineluiza Porque não quer bobinha.... 😁,' 1400106087739805703 ',' 1400236189228093444 ',' 2021-06-02 23:41:37 '
magazineluiza,ManoAxo,"@EnLs12 @magazineluiza Eu disse namorado no geral lek, tu q não tá sabendo brincar, quer que eu coloque um (a) da próxima vez pra não ofender LGBTAKSJQODHQIDNAUDHQJDBAIDBAKDHIAHXIAJSHSISJ+?",' 1400235667700043777 ',' 1400236029680959490 ',' 2021-06-02 23:40:59 '
magazineluiza,Deborediniz,"@PandaGa74537294 @magazineluiza Claro que não amade presta atenção, olha o nome delu MagaLU, logo elx é  trans não binarie .Use palavras neutres com elx como piá por exemplo, que no Paraná  é usado para se referir a meninos mas que também é palavra neutre olha a representatividade. #Ésobreisso https://t.co/bnn4RyWRwW",' 1400108304551063562 ',' 1400236025935548416 ',' 2021-06-02 23:40:58 '
magazineluiza,aasjr7,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B. https://t.co/zPucmGznne,' None ',' 1400236013176377345 ',' 2021-06-02 23:40:55 '
magazineluiza,Carlos_Bvrsc,"@lincolnmoura14 @ooc_verif @magazineluiza Eu shippo ela, o @CasasBahia e a @magazineluiza, trisal foda",' 1400195695139856391 ',' 1400235721802276868 ',' 2021-06-02 23:39:45 '
magazineluiza,EnLs12,@ManoAxo @magazineluiza Oxi tu que meteu sexualidade  falando de namorado kkkkkko  eu só entrei na brincadeira   Não sabe brincar não desce pro play https://t.co/SDeLlpDfwE,' 1400235204682391554 ',' 1400235667700043777 ',' 2021-06-02 23:39:32 '
magazineluiza,SuspensoDe,@PandaGa74537294 @magazineluiza Ela só é um monte de linha de código o retardada,' 1400108304551063562 ',' 1400235640604835840 ',' 2021-06-02 23:39:26 '
magazineluiza,ManoAxo,"@EnLs12 @magazineluiza Que merda rapaz? Eu só fiz uma brincadeira, você aí que tá metendo sexualidade do nada em qq porra https://t.co/n7bWqnVkqi",' 1400234354241060867 ',' 1400235204682391554 ',' 2021-06-02 23:37:42 '
magazineluiza,FretesIngrid,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400234894169620481 ',' 2021-06-02 23:36:28 '
magazineluiza,highbylaur,a lu do magalu me respondeu meu primeiro notice desse site https://t.co/EkoPTHLr8D https://t.co/YNuEQytsG1,' None ',' 1400234870627000327 ',' 2021-06-02 23:36:22 '
magazineluiza,NordestinaBr,@magazineluiza oi quero tirar uma dúvida sobre troca de produtos.,' None ',' 1400234833801060356 ',' 2021-06-02 23:36:14 '
magazineluiza,bloodyxhood,@magazineluiza magalu vc terminou com a nat natura https://t.co/UO5PWwEFYP,' 1400106087739805703 ',' 1400234669606645767 ',' 2021-06-02 23:35:34 '
magazineluiza,ogeloramos,Vou marcar vcs tbm pq vai q alguém olha meu currículo né... @nubank @santander_br @itau @bancosafra @magazineluiza @MercadoLivre @CNNBrasil @FordBrasil @caoa_chery @DellnoBrasil @voude99 @americanascom @Ambev @PrimeVideoBR @NetflixBrasil @CasasBahia @cea_brasil @azulinhasaereas,' 1400230156778848257 ',' 1400234524936638465 ',' 2021-06-02 23:35:00 '
magazineluiza,vitoria_c_s_,"@_ChaMatt @magazineluiza Tem parada errada aí , tem q ser assim:  Magalu curtindo um sertanejo😥💔😭// lembrou q bolsonaro é presidente😭😭😢😢😢😡😡😡😠🤮🤮🤢🤢🤢😒🙄🙄",' 1400175733834661892 ',' 1400234412005072907 ',' 2021-06-02 23:34:33 '
magazineluiza,EnLs12,@ManoAxo @magazineluiza Então pq  é vc que está divulgando merda ? https://t.co/XaieRZQb1L,' 1400234094127091712 ',' 1400234354241060867 ',' 2021-06-02 23:34:19 '
magazineluiza,zdwins,e o atendimento da @magazineluiza entrou pro top3 de piores atendimentos do país,' None ',' 1400234210720370688 ',' 2021-06-02 23:33:45 '
magazineluiza,ManoAxo,@EnLs12 @magazineluiza Informação tirada do cu não conta https://t.co/PfC5goC2Zs,' 1400233179101937667 ',' 1400234094127091712 ',' 2021-06-02 23:33:17 '
magazineluiza,lanascigarrete,@ManoAxo @magazineluiza o casal da quarentona com a universitário,' 1400197364934135808 ',' 1400234048656642048 ',' 2021-06-02 23:33:06 '
magazineluiza,Marcolazzz,RT @lilvinicinha: amor?,' None ',' 1400234029203574785 ',' 2021-06-02 23:33:02 '
magazineluiza,dorarreug,@magazineluiza Oi minha linda sonhei com nós 2 ontem fazendo besteitinhas hihihihih chama na dm meu amor,' 1400106087739805703 ',' 1400233955132067848 ',' 2021-06-02 23:32:44 '
magazineluiza,chloeswvigny,Essa sou eu!!! https://t.co/SpFDH7RPGM,' None ',' 1400233432031154176 ',' 2021-06-02 23:30:39 '
magazineluiza,EnLs12,@ManoAxo @magazineluiza Coitado mau sabe que essa aí é sapatao e tá procurando uma nomoradA https://t.co/Js16oI0qkg,' 1400197364934135808 ',' 1400233179101937667 ',' 2021-06-02 23:29:39 '
magazineluiza,ClecioPereira17,@magazineluiza Surubao entre @magazineluiza @Bradesco bia @CasasBahia baianinho @naturabroficial,' 1400106087739805703 ',' 1400233124265660417 ',' 2021-06-02 23:29:26 '
magazineluiza,MofP1986,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B. https://t.co/zPucmGznne,' None ',' 1400233059908304901 ',' 2021-06-02 23:29:11 '
magazineluiza,plinio_camilo,Pq a @magazineluiza nunca convidou o  cidney Magal ? 🤔,' None ',' 1400232888856203264 ',' 2021-06-02 23:28:30 '
magazineluiza,Fr0d0SeFr0deu,"RT @ManoAxo: @magazineluiza O mundão girou fia, não quis aceitar ngm como namorado agora que não vai ter nenhum mesmo, já viu essa linda aq…",' None ',' 1400232484252618752 ',' 2021-06-02 23:26:53 '
magazineluiza,KianLysander,AGORA Q EU VI QUE TEM NAMORADO E NAMORADA OOOOHH https://t.co/UOJngo8awY,' None ',' 1400232165183459328 ',' 2021-06-02 23:25:37 '
magazineluiza,emisscaroline,@merakingdom @magazineluiza KKKKKKKKKKKKKKK POR DEUS ELA RESPONDEU,' 1400201458985877506 ',' 1400231868637843456 ',' 2021-06-02 23:24:27 '
magazineluiza,GustaBonoro,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400231676802961412 ',' 2021-06-02 23:23:41 '
magazineluiza,naoacheiumuser,"Me sentindo extremamente enganado pela @magazineluiza, quando pesquiso por iPhone 11 aparece o favor de R$3760 mas quando Clico e abre o site vai para R$3999, eu só queria comprar meu iPhone",' None ',' 1400231568111718406 ',' 2021-06-02 23:23:15 '
magazineluiza,pcbuildwizard,"ASRock Phantom Gaming Radeon RX 550 2G, 2 GB GDDR5 - 90-GA0500-00UANF R$ 863,99 ⭐⭐ Menor preço dos últimos 90 dias: R$ 714,90. https://t.co/2Zb9YbEG6Y",' 1400231532724469760 ',' 1400231534473498627 ',' 2021-06-02 23:23:07 '
magazineluiza,pcbuildwizard,"Recomendações de Placas de Vídeo - 02/06.  Preços para pagamento com boleto bancário ou PIX.  AFOX GeForce GT 1030, 2 GB GDDR5 - AF1030-2048D5L5-V2 R$ 602,10 ⭐⭐⭐ Menor preço dos últimos 90 dias: R$ 494,10. https://t.co/4DsPirkLOh",' None ',' 1400231532724469760 ',' 2021-06-02 23:23:07 '
magazineluiza,Em_maisa,"Comprei uma bota na @magazineluiza, aceitaram meu pedido, aprovaram meu pagamento, emitiram a nota fiscal e na hora de me enviar cancelaram o pedido dizendo que não havia o produto em estoque ????????",' None ',' 1400230995777970180 ',' 2021-06-02 23:20:59 '
magazineluiza,myevilregal,"@depboy_ @HHEIOEK @jambalaia69 @IvanDinebier @PandaGa74537294 @magazineluiza Vocês são emocionados hein, to bem de boa comendo minha pizza aqui vei",' 1400228311817756674 ',' 1400230905613107202 ',' 2021-06-02 23:20:37 '
magazineluiza,FoxTrothe,@magazineluiza Olhar o App a minha entrega que não chega nunca. Já trocaram a data de entrega 4 vezes.,' 1400044712451526658 ',' 1400230901913694209 ',' 2021-06-02 23:20:36 '
magazineluiza,Unkn0wB,@magazineluiza Não tem pq n quer...,' 1400106087739805703 ',' 1400230843222839300 ',' 2021-06-02 23:20:22 '
magazineluiza,MegRodrigues007,De tudo que me aconteceu hoje o pior de tudo foi o @magazineluiza cancelar o presente que comprei pra minha mãe. 🥺,' None ',' 1400230795311190016 ',' 2021-06-02 23:20:11 '
magazineluiza,PedroAron6,@magazineluiza @lilvinicinha deixa de ser safada fia,' 1400199239003774981 ',' 1400230635172765696 ',' 2021-06-02 23:19:33 '
magazineluiza,joaomtos,"@magazineluiza Pede o número do pedido pra quê, se responde?",' 1400226735124271105 ',' 1400229978579558400 ',' 2021-06-02 23:16:56 '
magazineluiza,nemaitalo,Meu deus parem https://t.co/nMEeciYxH9,' None ',' 1400229766817538054 ',' 2021-06-02 23:16:06 '
magazineluiza,arlindogm79,@magazineluiza Que bosta,' 1400106087739805703 ',' 1400229562836004864 ',' 2021-06-02 23:15:17 '
magazineluiza,Conspiracionsta,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B. https://t.co/zPucmGznne,' None ',' 1400229006486786050 ',' 2021-06-02 23:13:04 '
magazineluiza,ErcivaldoJunior,@magazineluiza é sobre isso 🤖,' 1400106087739805703 ',' 1400228927558369282 ',' 2021-06-02 23:12:45 '
magazineluiza,ajuliarodriguex,E A @SigaZattini QUE SIMPLESMENTE NÃO ENTREGOU MEUS PRODUTOS E NAO FAZ O ESTORNO DO MEU VALOR PAGO PELO CARTÃO. PARABÉNS @magazineluiza PELO LIXO DE EMPRESA Q VCS COMPRARAM. JA ENTREI EM CONTATO COM UNS 500 ATENDENTES E NINGUÉM RESOLVE ESSA M***A. PQP,' None ',' 1400228845240958981 ',' 2021-06-02 23:12:26 '
magazineluiza,cucucuafe,Lu eu tenho crush em vice é verdade que você é bi? https://t.co/qff9nvRGDS,' None ',' 1400228796675018757 ',' 2021-06-02 23:12:14 '
magazineluiza,maya_nasc,@magazineluiza pelo amor de deus. TERCEIRO pedido fraudado em menos de 24 horas. Todo mundo tem a senha dos cadastros aí?,' None ',' 1400228578244108289 ',' 2021-06-02 23:11:22 '
magazineluiza,catiaboratto,"RT @ClenioMaciel: Rapaz, que decepção. Compra realizada no aplicativo do @magazineluiza e me chega um produto completamente diferente do qu…",' None ',' 1400228111980052483 ',' 2021-06-02 23:09:31 '
magazineluiza,ClenioMaciel,"Rapaz, que decepção. Compra realizada no aplicativo do @magazineluiza e me chega um produto completamente diferente do que foi pago. Que absurdo. Que decepção pro meu pequeno, pois se tratava de um brinquedo que ele esperava há tempos.",' None ',' 1400227611217903620 ',' 2021-06-02 23:07:32 '
magazineluiza,queenbonniebel,Como assim magalu?? Eu n sou nada pra vc? https://t.co/uWoMOg9SVY https://t.co/nsuENMItv8,' None ',' 1400227588216344582 ',' 2021-06-02 23:07:26 '
magazineluiza,Druderaa,@lucashenriq87 @Jefxrs0n @magazineluiza @lilvinicinha @Victor_silvazs @Kacin633 que doente kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,' 1400216598942736388 ',' 1400227577285992448 ',' 2021-06-02 23:07:24 '
magazineluiza,Dressa070,"A lu do Magalu é bi, é sobre isso ❤🧡💛💚💙💜 https://t.co/jspDIg5zD8",' None ',' 1400227375892283399 ',' 2021-06-02 23:06:36 '
magazineluiza,RodolphoFreita3,@PandaGa74537294 @magazineluiza A sua vida é tão merda assim a este ponto?...,' 1400108304551063562 ',' 1400227241565560834 ',' 2021-06-02 23:06:04 '
magazineluiza,joaomtos,@magazineluiza Me chama na DM,' 1400226735124271105 ',' 1400226882411323393 ',' 2021-06-02 23:04:38 '
magazineluiza,drand0,"ela faz o deboche delaaa, amei o meme lu ❤️ https://t.co/lI1n54G383",' None ',' 1400226512297730050 ',' 2021-06-02 23:03:10 '
magazineluiza,Yawa107123,@Oakkk_ @magazineluiza eita,' 1400197414435295234 ',' 1400226417883992069 ',' 2021-06-02 23:02:47 '
magazineluiza,takoyamipoison,RT @smg2official: @magazineluiza eu n sou virtual e tbm n tenho namorada :D,' None ',' 1400226068913655819 ',' 2021-06-02 23:01:24 '
magazineluiza,vibesdiangelo,RT @magazineluiza: Eu sofrendo ouvindo sertanejo 😭😭 // Lembrei que sou virtual e não tenho nem namorado nem namorada 😍😍 https://t.co/TMKUg3…,' None ',' 1400226048227299328 ',' 2021-06-02 23:01:19 '
magazineluiza,fifth_danvers,RT @magazineluiza: Eu sofrendo ouvindo sertanejo 😭😭 // Lembrei que sou virtual e não tenho nem namorado nem namorada 😍😍 https://t.co/TMKUg3…,' None ',' 1400225999107899396 ',' 2021-06-02 23:01:07 '
magazineluiza,batata_lucas11,"RT @gstfgr: galera que ta procurando trampo, galpão logístico do magazine luiza ta contratando, várias áreas!!! https://t.co/ujrl3EHS1R htt…",' None ',' 1400225924122095622 ',' 2021-06-02 23:00:49 '
magazineluiza,takoyamipoison,"RT @magazineluiza: Mas, ó, pra você que tá namorando e em busca do presente perfeito pro Dia dos Namorados, corre pro SuperApp Magalu pra g…",' None ',' 1400225913262981132 ',' 2021-06-02 23:00:47 '
magazineluiza,Ukranizador,@PandaGa74537294 @magazineluiza A diferença é que ela é 'Bi'lionária e tu é só uma 'Bi'scate mesmo.,' 1400108304551063562 ',' 1400225871454113793 ',' 2021-06-02 23:00:37 '
magazineluiza,ajuliarodriguex,"@Thaysstw Nao compre viu! Fiz uma compra, nao me entregaram os produtos e nao fazem o estorno do cartão. Lixo de empresa @SigaZattini @magazineluiza",' 1399936423642472450 ',' 1400225785525460993 ',' 2021-06-02 23:00:16 '
magazineluiza,_mandsgalvao,@magazineluiza: sem estoque Eu: 🤡🤡🤡🤡🤡🤡🤡🤡🤡,' None ',' 1400225616763539458 ',' 2021-06-02 22:59:36 '
magazineluiza,ajuliarodriguex,"@kerbc_ Nao! Fiz uma compra, nao me entregaram os produtos e nao fazem o estorno do cartão. Lixo de empresa @SigaZattini @magazineluiza",' 1400178566235660296 ',' 1400225614741835776 ',' 2021-06-02 22:59:36 '
magazineluiza,harxxie,@queenbonniebel @magazineluiza VAMOS COMPRAR TWNTO NAMAGAZINE AVISEM,' 1400221705625378824 ',' 1400225341348749319 ',' 2021-06-02 22:58:30 '
magazineluiza,NaomiFujiwara6,"@magazineluiza Mana, com essa carinha aí, só o Chucky encarava.",' 1400106087739805703 ',' 1400225285757407235 ',' 2021-06-02 22:58:17 '
magazineluiza,LuisaBrederr,KKKKKKKKK amei Lu do Magalu https://t.co/KeHepHIW3Y,' None ',' 1400225276655775746 ',' 2021-06-02 22:58:15 '
magazineluiza,harxxie,RT @magazineluiza: Eu sofrendo ouvindo sertanejo 😭😭 // Lembrei que sou virtual e não tenho nem namorado nem namorada 😍😍 https://t.co/TMKUg3…,' None ',' 1400225152743399427 ',' 2021-06-02 22:57:45 '
magazineluiza,olagutao,eu sou assim tb https://t.co/B1IgMHe3jM,' None ',' 1400224887868899329 ',' 2021-06-02 22:56:42 '
magazineluiza,jj_marcal,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400224788359098370 ',' 2021-06-02 22:56:19 '
magazineluiza,mzrick10,@PandaGa74537294 @magazineluiza Bilionária,' 1400108304551063562 ',' 1400224258622640128 ',' 2021-06-02 22:54:12 '
magazineluiza,_Grabiiel,Quero comprar uma bicicleta na @magazineluiza... Impedimento: Frete 140 reis 😢,' None ',' 1400224200464506881 ',' 2021-06-02 22:53:58 '
magazineluiza,VitorArguello,"@magazineluiza Vc podia lembrar q n é real antes de fazer meme ruim, empresa",' 1400106087739805703 ',' 1400224121829609473 ',' 2021-06-02 22:53:40 '
magazineluiza,SamuelJost1,@mateusbanjos @LV2003_ So mais a @magazineluiza,' 1400216781311123456 ',' 1400224048454459394 ',' 2021-06-02 22:53:22 '
magazineluiza,freekaidou,meu meme https://t.co/unLzSLw0tW,' None ',' 1400223911334322179 ',' 2021-06-02 22:52:50 '
magazineluiza,Yuna_Lightning,@jansen2099 @magazineluiza Vlw te espero lá,' 1400223301268553728 ',' 1400223487755796482 ',' 2021-06-02 22:51:09 '
magazineluiza,jansen2099,@Yuna_Lightning @magazineluiza Valeu mestra vou dá uma força lá. Sucesso pra ti,' 1400216811988307971 ',' 1400223301268553728 ',' 2021-06-02 22:50:24 '
magazineluiza,errorepilef,@PandaGa74537294 @magazineluiza ... bilionária,' 1400108304551063562 ',' 1400223213267865602 ',' 2021-06-02 22:50:03 '
magazineluiza,ThaiLuiz,@magazineluiza Vou falar mal dessa porcaria de loja pra todo mundo,' 1400214927156072452 ',' 1400223206393397250 ',' 2021-06-02 22:50:01 '
magazineluiza,ricardoguidio,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400223161052958721 ',' 2021-06-02 22:49:51 '
magazineluiza,flaviosuarizi,@magazineluiza Penso em como o Brasil estaria diferente se tivesse um presidente competente,' 1400044712451526658 ',' 1400222891942293504 ',' 2021-06-02 22:48:46 '
magazineluiza,T5Gui_,"RT @gstfgr: galera que ta procurando trampo, galpão logístico do magazine luiza ta contratando, várias áreas!!! https://t.co/ujrl3EHS1R htt…",' None ',' 1400222738665648131 ',' 2021-06-02 22:48:10 '
magazineluiza,PAULOPARMM,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400222432984772614 ',' 2021-06-02 22:46:57 '
magazineluiza,embriogenese,a lu do magalu é a matrix destruam ela antes que o pior aconteça https://t.co/XfgQ5lGG3o,' None ',' 1400222410411028487 ',' 2021-06-02 22:46:52 '
magazineluiza,Guile_Phoenix38,@magazineluiza Vem namorar comigo BB 😍  Vamos construir uma família virtual,' 1400106087739805703 ',' 1400222273399840782 ',' 2021-06-02 22:46:19 '
magazineluiza,fantormes,sou assim https://t.co/oDouJgNyid,' None ',' 1400222262222020613 ',' 2021-06-02 22:46:16 '
magazineluiza,KianLysander,mano oq q ta acontecnedokKKKKKKKKKKKKKKK https://t.co/UOJngo8awY,' None ',' 1400221926639947778 ',' 2021-06-02 22:44:56 '
magazineluiza,ArrudaDil,@magazineluiza Abro os olhos kkkkkk,' 1400044712451526658 ',' 1400221921854304262 ',' 2021-06-02 22:44:55 '
magazineluiza,leylelis,"@magazineluiza @prenass me dá um help aqui, você sabe se as empresas podem cruzar dados do meu cpf pra confirmar uma compra sem a minha expressa autorização?",' 1400221410287570946 ',' 1400221803306422275 ',' 2021-06-02 22:44:27 '
magazineluiza,queenbonniebel,@harxxie @magazineluiza KWHWKK OU GELW ELA E BIII!!!! VAI MAGALU ARRANCA MEU DINHEIRO,' 1400220899807215617 ',' 1400221705625378824 ',' 2021-06-02 22:44:04 '
magazineluiza,Eversonscosta,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400221501698285569 ',' 2021-06-02 22:43:15 '
magazineluiza,leptosprose,RT @magazineluiza: Eu sofrendo ouvindo sertanejo 😭😭 // Lembrei que sou virtual e não tenho nem namorado nem namorada 😍😍 https://t.co/TMKUg3…,' None ',' 1400221483922755585 ',' 2021-06-02 22:43:11 '
magazineluiza,joaomtos,Novo protocolo para informar em até seis dias um novo prazo de entrega @magazineluiza?  #MagazineLuizaNuncaMais,' 1400219261302362118 ',' 1400221410891546637 ',' 2021-06-02 22:42:53 '
magazineluiza,leylelis,"@magazineluiza Ah, tenho tudo gravadinho pra uma auditoria. Me ajudem a te ajudar. Acompanhem o caso, por favor.",' 1400221178179067911 ',' 1400221410287570946 ',' 2021-06-02 22:42:53 '
magazineluiza,Moisessolon1,@magazineluiza Eu faço xixi,' 1400044712451526658 ',' 1400221239491416073 ',' 2021-06-02 22:42:13 '
magazineluiza,leylelis,"@magazineluiza Oi. Comprei e descobri que a Magalu tem acesso a dados pessoais meus que nunca autorizei para tal. Já fiz a denúncia no SAC. Tem que seguir a LGPD, viu?😤 Se quiserem, o protocolo é 30950386. E as atendentes falaram que vcs nas redes sociais não são tão seguros qt o 0800🧐",' 1400147779457064963 ',' 1400221178179067911 ',' 2021-06-02 22:41:58 '
magazineluiza,knightwayne_,@magazineluiza você no rule 34 é diferente.,' 1400106087739805703 ',' 1400221113691561987 ',' 2021-06-02 22:41:43 '
magazineluiza,arthurcremoso,os caras estão passando do limite https://t.co/NX6WhQFpEo,' None ',' 1400220997249273864 ',' 2021-06-02 22:41:15 '
magazineluiza,harxxie,@magazineluiza @queenbonniebel QUEBRIEIEEWJWIAJS OLYYTT VEM VER A MAIOR,' 1400106087739805703 ',' 1400220899807215617 ',' 2021-06-02 22:40:52 '
magazineluiza,petrasjuridico,O Bahianinho te chama de milf no off eu ja vi https://t.co/N6K2Nv7hdg,' None ',' 1400220864415666178 ',' 2021-06-02 22:40:43 '
magazineluiza,saidaquiurgente,@magazineluiza Namora comigo,' 1400106087739805703 ',' 1400220739878494213 ',' 2021-06-02 22:40:13 '
magazineluiza,Dragonfly5h,RT @magazineluiza: Eu sofrendo ouvindo sertanejo 😭😭 // Lembrei que sou virtual e não tenho nem namorado nem namorada 😍😍 https://t.co/TMKUg3…,' None ',' 1400220564258701312 ',' 2021-06-02 22:39:32 '
magazineluiza,pxdrodisse,a magalu é bi achei tudo https://t.co/omkMnXW36p,' None ',' 1400220283529838595 ',' 2021-06-02 22:38:25 '
magazineluiza,silveger,"@KemelP25 @magazineluiza Confesso que não vi o filme todo, mas a referência é boa hehehe",' 1400209260219338753 ',' 1400220256031936521 ',' 2021-06-02 22:38:18 '
magazineluiza,matB60522008,@magazineluiza Magalu tenho problemas mentais preciso de um ps5 e um pc gamer de ultima geração poderia da pro pai?,' 1398034609766637570 ',' 1400220195894042626 ',' 2021-06-02 22:38:04 '
magazineluiza,InterAtivoSCI,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400220108547624965 ',' 2021-06-02 22:37:43 '
magazineluiza,reiastrologia,RT @JoaquinTeixeira: MANDA FOTO DA ENTRADA U.S.B.,' None ',' 1400220044722851844 ',' 2021-06-02 22:37:28 '
